StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Survey Information,Brand trust_1,Brand trust_2,Brand trust_3,Brand trust_4,scarcity credibility_1,scarcity credibility_2,scarcity credibility_3,scarcity credibility_4,scarcity credibility_5,Socialproof credibil_1,Socialproof credibil_2,Socialproof credibil_3,Socialproof credibil_4,Socialproof credibil_5,Purchase intention_1,Purchase intention_2,Purchase intention_3,Purchase intention_4,Purchase intention_5,Age,Gender,Product familiarity,Q_RecaptchaStatus,Q_RecaptchaError,Q_BallotBoxStuffing,Q_TerminateFlag,cue_type,condition,Q_StraightliningCount,Q_StraightliningPercentage,Q_StraightliningQuestions
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"You are invited to participate in a research study conducted as part of a bachelor thesis in Marketing at Vrije Universiteit Amsterdam.

The purpose of this study is to examine how people evaluate online product information and how this influences their perceptions and decisions.

It will take approximately 3-5 minutes to complete.



Your participation is voluntary, and you may stop at any time without penalty.



Your responses are anonymous. No identifying information will be collected. All data will be stored securely and used only for academic research purposes.

You must be 18 years or older to participate.



If you have any questions about the study, you can contact the researcher at: i.s.beukering@student.vu.nl



By clicking “Yes, I agree”, you confirm that:

- you are 18 years or older,

- you have read the information above, and

- you give your informed consent to participate in this study.","Please indicate how much you agree with the following statements about the brand you just saw. Select the option that best represents your opinion. 
Each item is rated on a 7‑point Likert scale, where 1 = Strongly disagree and 7 = Strongly agree - I trust this brand","Please indicate how much you agree with the following statements about the brand you just saw. Select the option that best represents your opinion. 
Each item is rated on a 7‑point Likert scale, where 1 = Strongly disagree and 7 = Strongly agree - I rely on this brand","Please indicate how much you agree with the following statements about the brand you just saw. Select the option that best represents your opinion. 
Each item is rated on a 7‑point Likert scale, where 1 = Strongly disagree and 7 = Strongly agree - This is an honest brand","Please indicate how much you agree with the following statements about the brand you just saw. Select the option that best represents your opinion. 
Each item is rated on a 7‑point Likert scale, where 1 = Strongly disagree and 7 = Strongly agree - This brand is safe","Please indicate how credible you find the message “Selling fast! Only 8 units left.” from the advertisement you just saw. For each item, select the option that best represents your opinion. Each item is rated on a 7‑point Likert scale, where 1 = Strongly disagree and 7 = Strongly agree. - This message is likely to be trustworthy","Please indicate how credible you find the message “Selling fast! Only 8 units left.” from the advertisement you just saw. For each item, select the option that best represents your opinion. Each item is rated on a 7‑point Likert scale, where 1 = Strongly disagree and 7 = Strongly agree. - This message is likely to be believable","Please indicate how credible you find the message “Selling fast! Only 8 units left.” from the advertisement you just saw. For each item, select the option that best represents your opinion. Each item is rated on a 7‑point Likert scale, where 1 = Strongly disagree and 7 = Strongly agree. - This message is likely to be accurate","Please indicate how credible you find the message “Selling fast! Only 8 units left.” from the advertisement you just saw. For each item, select the option that best represents your opinion. Each item is rated on a 7‑point Likert scale, where 1 = Strongly disagree and 7 = Strongly agree. - This message is likely to be credible","Please indicate how credible you find the message “Selling fast! Only 8 units left.” from the advertisement you just saw. For each item, select the option that best represents your opinion. Each item is rated on a 7‑point Likert scale, where 1 = Strongly disagree and 7 = Strongly agree. - Please click ""7=strongly agree"" here","Please indicate how credible you find the message “Top Rated: 4.8/5★ based on 2134 reviews” from the advertisement you just saw. For each item, select the option that best represents your opinion. Each item is rated on a 7‑point Likert scale, where 1 = Strongly disagree and 7 = Strongly agree. - This message is likely to be trustworthy","Please indicate how credible you find the message “Top Rated: 4.8/5★ based on 2134 reviews” from the advertisement you just saw. For each item, select the option that best represents your opinion. Each item is rated on a 7‑point Likert scale, where 1 = Strongly disagree and 7 = Strongly agree. - This message is likely to be believable","Please indicate how credible you find the message “Top Rated: 4.8/5★ based on 2134 reviews” from the advertisement you just saw. For each item, select the option that best represents your opinion. Each item is rated on a 7‑point Likert scale, where 1 = Strongly disagree and 7 = Strongly agree. - This message is likely to be accurate","Please indicate how credible you find the message “Top Rated: 4.8/5★ based on 2134 reviews” from the advertisement you just saw. For each item, select the option that best represents your opinion. Each item is rated on a 7‑point Likert scale, where 1 = Strongly disagree and 7 = Strongly agree. - This message is likely to be credible","Please indicate how credible you find the message “Top Rated: 4.8/5★ based on 2134 reviews” from the advertisement you just saw. For each item, select the option that best represents your opinion. Each item is rated on a 7‑point Likert scale, where 1 = Strongly disagree and 7 = Strongly agree. - Please click ""7=strongly agree"" here","Please indicate how likely you are to purchase the wireless headphones. For each statement, select the option that best represents your opinion.

Each item is rated on a 7‑point scale, where 1 means the statement on the left and 7 means the statement on the right. - I would never buy this product:I would definitely buy this product","Please indicate how likely you are to purchase the wireless headphones. For each statement, select the option that best represents your opinion.

Each item is rated on a 7‑point scale, where 1 means the statement on the left and 7 means the statement on the right. - I definitely do not intend to buy this product:I definitely intend to buy this product","Please indicate how likely you are to purchase the wireless headphones. For each statement, select the option that best represents your opinion.

Each item is rated on a 7‑point scale, where 1 means the statement on the left and 7 means the statement on the right. - My purchase interest is very low:My purchase interest is very high","Please indicate how likely you are to purchase the wireless headphones. For each statement, select the option that best represents your opinion.

Each item is rated on a 7‑point scale, where 1 means the statement on the left and 7 means the statement on the right. - I would definitely not buy this product:I would definitely buy this product","Please indicate how likely you are to purchase the wireless headphones. For each statement, select the option that best represents your opinion.

Each item is rated on a 7‑point scale, where 1 means the statement on the left and 7 means the statement on the right. - I would probably not buy this product:I would probably buy this product",What is your age?,What is your gender?,How familiar are you with wireless headphones?,Q_RecaptchaStatus,Q_RecaptchaError,Q_BallotBoxStuffing,Q_TerminateFlag,cue_type,condition,Q_StraightliningCount,Q_StraightliningPercentage,Q_StraightliningQuestions
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID30_2""}","{""ImportId"":""QID30_3""}","{""ImportId"":""QID30_4""}","{""ImportId"":""QID30_5""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID16_5""}","{""ImportId"":""QID19""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}","{""ImportId"":""Q_RecaptchaStatus""}","{""ImportId"":""Q_RecaptchaError""}","{""ImportId"":""Q_BallotBoxStuffing""}","{""ImportId"":""Q_TerminateFlag""}","{""ImportId"":""cue_type""}","{""ImportId"":""condition""}","{""ImportId"":""Q_StraightliningCount""}","{""ImportId"":""Q_StraightliningPercentage""}","{""ImportId"":""Q_StraightliningQuestions""}"
2026-05-21 11:29:58,2026-05-21 11:30:32,0,58,33,0,2026-05-21 11:30:56,R_2fCc2FTik6m6Pye,anonymous,EN,0.800000011920929,1,,,,,,,,,,,,,,,,,,,,,,,complete,,,,social_proof,lowtrust_socialproof,0,0,
2026-05-21 11:27:03,2026-05-21 11:29:56,0,58,172,0,2026-05-21 11:30:57,R_8YJ6FuRZzLFhV6p,anonymous,EN,0.800000011920929,1,,,,,,,,,,,,,,,,,,,,,,,complete,,,,social_proof,hightrust_socialproof,0,0,
2026-05-21 11:40:04,2026-05-21 11:41:21,0,100,76,1,2026-05-21 11:41:22,R_8VsRjAn5Qm11XPK,anonymous,EN,0.8999999761581421,1,6,6,6,6,6,6,6,5,7,,,,,,6,6,5,6,6,1,2,5,complete,,,Complete,scarcity,hightrust_scarcity,1,0.3333333333333333,QID10
2026-05-21 12:21:18,2026-05-21 12:30:07,0,100,528,1,2026-05-21 12:30:07,R_2pbS1S53GP8BvhC,anonymous,EN,1,1,3,3,3,3,2,2,2,2,7,,,,,,2,2,2,2,2,5,1,7,complete,,,Complete,scarcity,lowtrust_scarcity,2,0.6666666666666666,"QID10,QID16"
2026-05-21 11:31:48,2026-05-21 11:32:10,0,58,21,0,2026-05-21 12:32:14,R_2JyF58hVoeoPFSK,anonymous,EN,0.8999999761581421,1,,,,,,,,,,,,,,,,,,,,,,,complete,,,,social_proof,hightrust_socialproof,0,0,
2026-05-21 12:49:27,2026-05-21 12:56:04,0,100,396,1,2026-05-21 12:56:04,R_22JRJNAKxtWlRmg,anonymous,EN,1,1,4,1,5,5,5,5,3,4,7,,,,,,5,3,2,4,3,1,2,1,complete,,,Complete,scarcity,lowtrust_scarcity,0,0,
2026-05-21 13:13:29,2026-05-21 13:16:04,0,100,154,1,2026-05-21 13:16:04,R_8q4BboYAFpdW2iY,anonymous,EN,1,1,6,5,6,6,,,,,,6,6,6,6,7,5,6,5,5,6,1,2,4,complete,,,Complete,social_proof,hightrust_socialproof,0,0,
2026-05-21 13:14:27,2026-05-21 13:16:19,0,100,112,1,2026-05-21 13:16:19,R_8dBWSh5Q7XD23El,anonymous,EN,1,1,6,6,6,6,7,7,7,7,7,,,,,,6,5,5,6,5,1,2,5,complete,,,Complete,scarcity,hightrust_scarcity,2,0.6666666666666666,"QID10,QID11"
